F1 	 F2_gene 
MZ22528606	MZ22524282
MZ22509118	MZ22500963
MZ22530567	MZ22505306
MZ22515311	MZ22506271
MZ22530435	MZ22514296
MZ22527539	MZ22524913
MZ22523465	MZ22521375
MZ22530426	MZ22523278
MZ22520997	MZ22515611
MZ22530621	MZ22525617
MZ22528797	MZ22519827
MZ22528701	MZ22509677
MZ22527715	MZ22524202
MZ22509954	MZ22507549
MZ22527961	MZ22525525
MZ22530775	MZ22510771
MZ22528963	MZ22521696
MZ22530641	MZ22515923
MZ22529513	MZ22519442
MZ22530775	MZ22520491
MZ22530558	MZ22506226
MZ22500754	MZ22500106
MZ22504397	MZ22500913
MZ22528532	MZ22523837
MZ22530913	MZ22524141
MZ22529209	MZ22524733
MZ22527961	MZ22516164
MZ22531194	MZ22517741
MZ22528979	MZ22514124
MZ22506348	MZ22507135
MZ22527779	MZ22526291
MZ22528012	MZ22510440
MZ22524065	MZ22525160
MZ22518279	MZ22526701
MZ22528963	MZ22525996
MZ22521610	MZ22508066
MZ22526808	MZ22526813
MZ22528973	MZ22523515
MZ22527985	MZ22504918
MZ22510658	MZ22509401
MZ22528378	MZ22500047
MZ22528597	MZ22513334
MZ22528472	MZ22519883
MZ22515259	MZ22523467
MZ22530036	MZ22503567
MZ22528442	MZ22507303
MZ22528949	MZ22524582
MZ22516940	MZ22516071
MZ22511815	MZ22511180
MZ22530733	MZ22505306
MZ22531075	MZ22502785
MZ22528924	MZ22500579
MZ22528813	MZ22524150
MZ22528939	MZ22506238
MZ22529550	MZ22500923
MZ22528939	MZ22524733
MZ22528316	MZ22520576
MZ22529135	MZ22515350
MZ22524393	MZ22513599
MZ22531015	MZ22525780
MZ22514725	MZ22502949
MZ22528169	MZ22512960
MZ22528218	MZ22509788
MZ22530326	MZ22521243
MZ22530469	MZ22514802
MZ22528880	MZ22502673
MZ22531113	MZ22517197
MZ22520278	MZ22523370
MZ22530626	MZ22512571
MZ22530524	MZ22518136
MZ22513427	MZ22511280
MZ22519119	MZ22518135
MZ22517798	MZ22522989
MZ22529090	MZ22510443
MZ22506124	MZ22502935
MZ22521767	MZ22521498
MZ22518612	MZ22503849
MZ22526117	MZ22519193
MZ22525200	MZ22515996
MZ22506632	MZ22502318
MZ22518279	MZ22511606
MZ22528993	MZ22513478
MZ22513245	MZ22516531
MZ22529418	MZ22521351
MZ22528651	MZ22504918
MZ22528569	MZ22516011
MZ22528909	MZ22516877
MZ22520218	MZ22501769
MZ22506809	MZ22509191
MZ22528119	MZ22500047
MZ22530094	MZ22523230
MZ22528875	MZ22513314
MZ22528743	MZ22522532
MZ22528586	MZ22506269
MZ22527979	MZ22510562
MZ22522161	MZ22502612
MZ22528769	MZ22508297
MZ22526841	MZ22526881
MZ22501194	MZ22503731
MZ22529889	MZ22503048
MZ22518487	MZ22509506
MZ22530161	MZ22515305
MZ22528626	MZ22503849
MZ22528198	MZ22512960
MZ22530125	MZ22523278
